route_id,direction,order,stop_name,time_to_next,direction_name
204,2,74,聯合醫院仁愛院區,1,往東園
204,2,75,東豐復興路口,1,往東園
204,2,76,師大附中,2,往東園
204,2,77,信義建國路口,0,往東園
204,2,78,捷運大安森林公園站,1,往東園
204,2,79,信義新生路口,2,往東園
204,2,80,信義永康街口,1,往東園
204,2,81,捷運東門站,2,往東園
204,2,82,信義杭州路口,0,往東園
204,2,83,中正紀念堂,2,往東園
204,2,84,一女中（公園）,1,往東園
204,2,85,市立大學附小,1,往東園
204,2,86,南門,1,往東園
204,2,87,建國中學（歷史博物館）,1,往東園
204,2,88,三元街口,1,往東園
204,2,89,國盛國宅,1,往東園
204,2,90,中華南海路口,1,往東園
204,2,91,南機場公寓,1,往東園
204,2,92,西藏路,1,往東園
204,2,93,西藏路口,1,往東園
204,2,94,德昌街口,1,往東園
204,2,95,萬大國小,1,往東園
204,2,96,果菜市場,2,往東園
204,2,97,華中河濱公園,1,往東園
,,,,,
234,1,1,歡仔園,0,往西門
234,1,2,僑中一街,1,往西門
234,1,3,大觀路一段28巷,1,往西門
234,1,4,大觀國小,1,往西門
234,1,5,國立臺灣藝術大學,1,往西門
234,1,6,中山實小,1,往西門
234,1,7,板橋榮家,1,往西門
234,1,8,力行新村,1,往西門
234,1,9,南雅站,7,往西門
234,1,10,亞東科技大學,1,往西門
234,1,11,豫章工商,2,往西門
234,1,12,仁愛新村,1,往西門
234,1,13,福星里,1,往西門
234,1,14,鄉雲里,0,往西門
234,1,15,後站商圈,3,往西門
234,1,16,介壽公園,1,往西門
234,1,17,民權路口,2,往西門
234,1,18,新北市政府（新府路）,1,往西門
234,1,19,新北板橋公車站,1,往西門
234,1,20,新北市政府（中山路）,1,往西門
234,1,21,中山漢生路口,2,往西門
234,1,22,西安里,1,往西門
234,1,23,中山民生路口,1,往西門
234,1,24,埔墘國小,1,往西門
234,1,25,埔墘（中山路）,1,往西門
234,1,26,埔墘派出所,2,往西門
234,1,27,光復橋,1,往西門
234,1,28,西園路二段,2,往西門
234,1,29,華江高中（西園）,2,往西門
234,1,30,西園29服飾基地,1,往西門
234,1,31,大理服飾,2,往西門
234,1,32,捷運龍山寺站,1,往西門
234,1,33,龍山寺（康定）,1,往西門
234,1,34,祖師廟（康定）,3,往西門
234,1,35,西門國小（臺大醫院北護分院）,1,往西門
234,1,36,峨眉街口（中醫院區）,1,往西門
234,1,37,漢口街,2,往西門
234,2,38,中華路北站,1,往板橋
234,2,39,捷運西門站,2,往板橋
234,2,40,小南門,2,往板橋
234,2,41,桂林昆明街口,1,往板橋
234,2,42,桂林路,1,往板橋
234,2,43,龍山寺（西園）,2,往板橋
234,2,44,大理服飾,2,往板橋
234,2,45,西園29服飾基地,1,往板橋
234,2,46,華江高中（西園）,1,往板橋
234,2,47,西園路二段,2,往板橋
234,2,48,光復橋,1,往板橋
234,2,49,埔墘派出所,1,往板橋
234,2,50,埔墘（中山路）,1,往板橋
234,2,51,埔墘國小,2,往板橋
234,2,52,中山民生路口,1,往板橋
234,2,53,西安里,1,往板橋
234,2,54,中山漢生路口,1,往板橋
234,2,55,新北市政府（中山路）,2,往板橋
234,2,56,新北板橋公車站,3,往板橋
234,2,57,新北市政府（新府路）,1,往板橋
234,2,58,民權路口,1,往板橋
234,2,59,板橋外站,1,往板橋
234,2,60,後站商圈,1,往板橋
234,2,61,鄉雲里,1,往板橋
234,2,62,福星里,1,往板橋
234,2,63,仁愛新村,1,往板橋
234,2,64,豫章工商,1,往板橋
234,2,65,亞東科技大學,2,往板橋
234,2,66,南雅站,2,往板橋
234,2,67,浮洲橋,2,往板橋
234,2,68,福安里,2,往板橋
234,2,69,力行新村,1,往板橋
234,2,70,板橋榮家,1,往板橋
234,2,71,中山實小,1,往板橋
234,2,72,國立臺灣藝術大學,1,往板橋
234,2,73,大觀國小,1,往板橋
234,2,74,大觀路一段28巷,1,往板橋
234,2,75,僑中一街,1,往板橋
234,2,76,歡仔園,1,往板橋
,,,,,
262,1,1,宏國德霖科技大學,0,往民生社區
262,1,2,清和里,0,往民生社區
262,1,3,檳榔科,1,往民生社區
262,1,4,清水派山所,1,往民生社區
262,1,5,清水,1,往民生社區
262,1,6,臺灣新北地方法院（青雲）,1,往民生社區
262,1,7,土城看守所,2,往民生社區
262,1,8,廣福里,1,往民生社區
262,1,9,廣福國小,1,往民生社區
262,1,10,裕民路口（學府路）,2,往民生社區
262,1,11,新北高工（學府）,1,往民生社區
262,1,12,學士路口,1,往民生社區
262,1,13,裕民路口（金城路）,3,往民生社區
262,1,14,中正國中,1,往民生社區
262,1,15,臺灣新北地方法院（金城）,1,往民生社區
262,1,16,清水國小,1,往民生社區
262,1,17,永豐路口,1,往民生社區
262,1,18,平和里,1,往民生社區
262,1,19,變電所,2,往民生社區
262,1,20,駕訓中心,2,往民生社區
262,1,21,中和高中,1,往民生社區
262,1,22,連城路,3,往民生社區
262,1,23,中正路,2,往民生社區
262,1,24,平河里,2,往民生社區
262,1,25,中原里,1,往民生社區
262,1,26,中山錦和路口,1,往民生社區
262,1,27,捷運橋和站,2,往民生社區
262,1,28,中和保養廠,2,往民生社區
262,1,29,家美工業區,1,往民生社區
262,1,30,捷運中和站（中山路）,1,往民生社區
262,1,31,連城路口,2,往民生社區
262,1,32,中和區公所（景平路）,1,往民生社區
262,1,33,南華路口,1,往民生社區
262,1,34,捷運景安站（景平路）,3,往民生社區
262,1,35,中和教會,3,往民生社區
262,1,36,智光商職,1,往民生社區
262,1,37,中興二村,1,往民生社區
262,1,38,中興新村,1,往民生社區
262,1,39,得和路口,1,往民生社區
262,1,40,永和國小,2,往民生社區
262,1,41,福和里,1,往民生社區
262,1,42,大新街,1,往民生社區
262,1,43,正興里,1,往民生社區
262,1,44,捷運頂溪站,2,往民生社區
262,1,45,中正橋頭,1,往民生社區
262,1,46,重慶南路三段（中正橋）,2,往民生社區
262,1,47,寧波重慶路口,2,往民生社區
262,1,48,中正二分局,1,往民生社區
262,1,49,一女中（重慶）,2,往民生社區
262,1,50,博愛路,2,往民生社區
262,1,51,臺北郵局,2,往民生社區
262,1,52,臺北車站（忠孝）,2,往民生社區
262,1,53,捷運善導寺站,2,往民生社區
262,1,54,華山文創園區,1,往民生社區
262,1,55,忠孝國小,2,往民生社區
262,1,56,臺北科技大學（忠孝）,1,往民生社區
262,1,57,正義郵局,2,往民生社區
262,1,58,懷生國中,1,往民生社區
262,1,59,頂好市場,1,往民生社區
262,1,60,捷運忠孝敦化站,1,往民生社區
262,1,61,市民大道口,1,往民生社區
262,1,62,市立體育場,2,往民生社區
262,1,63,臺北小巨蛋,1,往民生社區
262,1,64,長庚醫院,1,往民生社區
262,1,65,公教住宅,1,往民生社區
262,1,66,介壽國中,2,往民生社區
262,1,67,聯合二村,1,往民生社區
262,1,68,民生社區活動中心,0,往民生社區
262,1,69,新東街口,2,往民生社區
262,1,70,塔悠路,1,往民生社區
262,1,71,撫遠抽水站,0,往民生社區
262,1,72,塔悠疏散門,2,往民生社區
262,2,73,莊敬里,5,往宏國德霖科技大學
262,2,74,新益里,1,往宏國德霖科技大學
262,2,75,民生國中,1,往宏國德霖科技大學
262,2,76,新東街口,1,往宏國德霖科技大學
262,2,77,民生社區活動中心,1,往宏國德霖科技大學
262,2,78,聯合二村,1,往宏國德霖科技大學
262,2,79,介壽國中,2,往宏國德霖科技大學
262,2,80,公教住宅,0,往宏國德霖科技大學
262,2,81,富錦街口,1,往宏國德霖科技大學
262,2,82,松山機場,1,往宏國德霖科技大學
262,2,83,民生敦化路口,2,往宏國德霖科技大學
262,2,84,長春敦化路口,1,往宏國德霖科技大學
262,2,85,臺北小巨蛋,2,往宏國德霖科技大學
262,2,86,八德敦化路口,0,往宏國德霖科技大學
262,2,87,市民敦化路口,2,往宏國德霖科技大學
262,2,88,頂好市場,1,往宏國德霖科技大學
262,2,89,捷運忠孝復興站,1,往宏國德霖科技大學
262,2,90,正義郵局,1,往宏國德霖科技大學
262,2,91,臺北科技大學（忠孝）,2,往宏國德霖科技大學
262,2,92,忠孝國小,0,往宏國德霖科技大學
262,2,93,華山文創園區,1,往宏國德霖科技大學
262,2,94,捷運善導寺站,1,往宏國德霖科技大學
262,2,95,臺北車站（忠孝）,2,往宏國德霖科技大學
262,2,96,中華路北站,1,往宏國德霖科技大學
262,2,97,捷運西門站,2,往宏國德霖科技大學
262,2,98,小南門（和平院區）,1,往宏國德霖科技大學
262,2,99,捷運小南門站,1,往宏國德霖科技大學
262,2,100,中正二分局,1,往宏國德霖科技大學
262,2,101,寧波重慶路口,1,往宏國德霖科技大學
